ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-02-13,223.5347834110898,221.30996692497908,241.7383989344673,223.5347834110898,223.5347834110898,8.333890768348633,8.333890768348633,8.333890768348633,1.9508534961588948,1.9508534961588948,1.9508534961588948,6.383037272189738,6.383037272189738,6.383037272189738,0.0,0.0,0.0,231.86867417943841
2025-02-14,223.5965739484306,221.55910690573822,241.6689119301006,223.5965739484306,223.5965739484306,8.149768875099005,8.149768875099005,8.149768875099005,2.1298425550847817,2.1298425550847817,2.1298425550847817,6.019926320014222,6.019926320014222,6.019926320014222,0.0,0.0,0.0,231.7463428235296
2025-02-18,223.84373609779388,220.0549180682026,240.23326442252224,223.84373609779388,223.84373609779388,6.170783912911467,6.170783912911467,6.170783912911467,2.2533304575796755,2.2533304575796755,2.2533304575796755,3.917453455331791,3.917453455331791,3.917453455331791,0.0,0.0,0.0,230.01452001070535
2025-02-19,223.9055266351347,219.1045929625988,239.0937449362917,223.9055266351347,223.9055266351347,5.37091516832712,5.37091516832712,5.37091516832712,2.1219218799756603,2.1219218799756603,2.1219218799756603,3.24899328835146,3.24899328835146,3.24899328835146,0.0,0.0,0.0,229.2764418034618
2025-02-20,223.96731717247548,218.02884037308786,238.38765202108704,223.96731717247548,223.96731717247548,4.485659671187146,4.485659671187146,4.485659671187146,1.9508534961643824,1.9508534961643824,1.9508534961643824,2.534806175022763,2.534806175022763,2.534806175022763,0.0,0.0,0.0,228.4529768436626
2025-02-21,224.0291077098163,217.2508647854731,238.48508873943342,224.0291077098163,224.0291077098163,3.911962551062224,3.911962551062224,3.911962551062224,2.129842555095543,2.129842555095543,2.129842555095543,1.7821199959666811,1.7821199959666811,1.7821199959666811,0.0,0.0,0.0,227.94107026087852
2025-02-24,224.21447932183875,215.63223150657586,235.47757925814818,224.21447932183875,224.21447932183875,1.7182826779832852,1.7182826779832852,1.7182826779832852,2.343608478331126,2.343608478331126,2.343608478331126,-0.6253258003478411,-0.6253258003478411,-0.6253258003478411,0.0,0.0,0.0,225.93276199982205
2025-02-25,224.27626985917956,214.73103191915243,235.26853753346907,224.27626985917956,224.27626985917956,0.8049727366151045,0.8049727366151045,0.8049727366151045,2.253330457577396,2.253330457577396,2.253330457577396,-1.4483577209622918,-1.4483577209622918,-1.4483577209622918,0.0,0.0,0.0,225.08124259579466
2025-02-26,224.33806039652038,214.7720222290758,235.26126316912445,224.33806039652038,224.33806039652038,-0.14467898181951466,-0.14467898181951466,-0.14467898181951466,2.121921879975558,2.121921879975558,2.121921879975558,-2.2666008617950726,-2.2666008617950726,-2.2666008617950726,0.0,0.0,0.0,224.19338141470087
2025-02-27,224.3998509338612,212.65625179724188,233.24034235147812,224.3998509338612,224.3998509338612,-1.1202634733483672,-1.1202634733483672,-1.1202634733483672,1.9508534961551107,1.9508534961551107,1.9508534961551107,-3.071116969503478,-3.071116969503478,-3.071116969503478,0.0,0.0,0.0,223.27958746051283
